Content,Date,User
"Te respaldamos con todas nuestras fuerzas, con todo nuestro corazón y con el poder de nuestro VOTO.

Eres lo mejor que le paso a nuestra patria.

Te amamos mi cabecita de algodon.

Siempre el pueblo estará a tu lado.",26 ago.,@forozcolg
"Ya no hay corrupción porque ahora se le llaman ""aportaciones"". Ya no hay decremento del PIB, porque ahora se le llama ""Índice de felicida"" 🙂 un genio el presidente chiquito de México.",26 ago.,@LdaCantinas
"Hoy con morena hay más corrupción que nunca en el gobierno. 
El que anda desquiciado y muy mal de sus facultades mentales es el ᵖʳᵉˢᶦᵈᵉⁿᵗᵉ López Obrador.
En más de 100 años ningún presidente le había fallado tanto a los mexicanos ni había sido tan chillón.",26 ago.,@aracelibs
"Cuál confianza? Si nunca la hubo. Por cierto, y Pío?",26 ago.,@OscarFernandoLp
¿Estás de acuerdo con la transformación?,26 ago.,@vampipe
"Ponte a trabajar!
Las personas deben hacer un esfuerzo y ser productivos!
No porque hables y hables y te sientas un Líder sirves para algo 

Eres una persona muy Improductiva Presidente",26 ago.,@richiefumo
Qué diría Benito Juárez si escuchara su mensaje ... evangelizador,26 ago.,@ISROAGM
"Bueno para nada, como tu comprenderás???",26 ago.,@ibeer1952
"No eres un mesías ni iluminado ni benefactor, sino un servidor público obligado a gobernar para todos. En un estado laico debes apegarte a la Constitución, no a evangelios que manipulas para lucrar con los más pobres y asegurarte sus votos tratándolos como mascotas.",26 ago.,@edialexy
Cómo engaña a la gente el idiota este,25 ago.,@MRAngelmoreno80
"Tú eres un bueno pero para nada inepto, deja de hablar como pinche merolico que no te das cuentas que tienes al país hecho una ruina imbecil, o lo haces a propósito porque de ser así nos vamos a levantar cabron en tú contra y no precisamente en las urnas, quieres madrazos verdad?",25 ago.,@EDUARDOSJ
"Corrupción, impunidad, mentira, el sello de tu gobierno.",25 ago.,@CarlosTorresF_
"Ni es humanista. 
Ni es católico.
Ni es honesto.
Ni está ayudando a los pobres.
Ni ayuda a los enfermos.
Ni combate la corrupción.
Ni resuelve nada.
Ni representa al México honesto que todos los días se levanta a trabajar, los honestos no recibimos ""aportaciones voluntarias"".",25 ago.,@ClaudiaRominaCV
"Bellaco no diga estupideces, usted es él la máxima expresión de la palabra corrupto. Ya se le olvidó que ni para refacciones de los camines de basura en CDMX cuando usted lo gobernó. Y que decir de lo que le dieron los del SNTE, CNTE, LYF. ETC. RATOTA! eso es lo que usted es",25 ago.,@Leonard37365006
No los está ayudando... los está matando‼️‼️🇲🇽🖤,25 ago.,@laishawilkins
¿No es MUY conservador citar al Papa?,25 ago.,@ChumelTorres
